Year,Coal and coal products,Natural gas,Hydropower,Nuclear,"Solar, wind and other renewables",Biofuels and waste,Oil and oil products,Units
1990,92913264,69601668,7715087,22002472,1533814,34991772,135540784,TJ
1991,90479613,71981175,7952095,23014695,1566728,35528927,136101896,TJ
1992,88967841,72037255,7955943,23200657,1638357,36253853,136911054,TJ
1993,89300744,73373150,8421232,23922612,1684132,36327150,137721433,TJ
1994,90095972,73352512,8498933,24485124,1761315,36827919,138612593,TJ
1995,92502394,75497363,8924395,25459860,1772900,37493129,141486866,TJ
1996,93993928,78182578,9038861,26392176,1878716,37922647,145135026,TJ
1997,93152440,79048745,9153457,26127198,1917481,38423040,148829505,TJ
1998,92925583,79739327,9197430,26694200,2039543,38559051,149395856,TJ
1999,93245030,83311938,9228767,27627616,2238677,39018433,152621701,TJ
2000,96837807,86606591,9427305,28280453,2507861,38174882,154168571,TJ
2001,98271390,87080542,9228065,28796729,2571722,37814940,155696832,TJ
2002,101707486,89811661,9486673,29048507,2458552,38499270,157383230,TJ
2003,109442090,93263528,9534392,28771344,2597682,39292266,160964893,TJ
2004,118228959,95880368,10137822,29892180,2790589,40061626,166951945,TJ
2005,125285027,98657326,10586480,30216369,2918944,40915388,168702010,TJ
2006,132763390,101101245,10969843,30474812,3124564,41899723,170785148,TJ
2007,139812482,105546591,11117758,29693234,3419593,42527145,172358241,TJ
2008,141748716,108227704,11571990,29843200,3719311,43275319,171815123,TJ
2009,141325815,106147900,11780272,29437054,4161759,43479449,168527887,TJ
2010,152625894,114575963,12440374,30091057,4562988,44993263,173874987,TJ
2011,159588930,116662591,12664179,28196760,5245956,44990414,174244375,TJ
2012,161126294,118842787,13261341,26863252,5855199,46132475,175859272,TJ
2013,163545099,121237041,13734111,27071303,6787933,47299954,176692080,TJ
2014,165334107,121191528,14028650,27686808,7527401,47737095,179445220,TJ
2015,160978394,122401514,14046680,28063292,8461014,48009976,182068225,TJ
2016,156220373,126786626,14544346,28481552,9405266,48837024,185229474,TJ
2017,159174532,130078130,14735184,28783492,10729440,49918952,188801815,TJ
2018,162306821,136052783,15190642,29579637,12027432,51347417,189304690,TJ
2019,161816401,138708120,15383199,30465719,13264570,52007107,190643240,TJ
2020,157632462,137996667,15710273,29221407,14694569,52341347,173448367,TJ
2021,169394672,145852215,15483910,30722003,16483694,54046843,183326141,TJ
2022,171739153,143914361,15654004,29291499,18633158,54981277,188124912,TJ
2023,175947669,144146098,15308404,29919241,20752505,56014379,191612174,TJ